url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
https://www.straitstimes.com/singapore/environment/covid-19-offers-preview-of-impact-of-environmental-threats,,Covid - 19 offers preview of impact of environmental threats,20200501T230000Z,https://www.straitstimes.com/sites/all/themes/custom/bootdemo/images/facebook_default_pic.jpg,straitstimes.com,English,Singapore
https://www.express.co.uk/news/science/1276612/coronavirus-uk-climate-change-comparison,https://www.express.co.uk/news/science/1276612/coronavirus-uk-climate-change-comparison/amp,Coronavirus : Expert warns climate change will be  far greater tragedy  than pandemic,20200501T150000Z,https://cdn.images.express.co.uk/img/dynamic/151/750x445/1276612.jpg,express.co.uk,English,United Kingdom
https://www.b92.net/zivot/vesti.php?yyyy=2020&mm=05&dd=01&nav_id=1679559,https://www.b92.net/zivot/vesti.php?yyyy=2020 =05 =01 _id=1679559 =amp,Deo novca prikupljenog za borbu protiv klimatskih promena Tunberg donirala za maske i sapune,20200502T000000Z,,b92.net,Serbian,Serbia
https://allafrica.com/stories/202005010134.html,,Liberia : Climate Change Efforts and Messages in Relation to the COVID - 19 Pandemic,20200501T091500Z,,allafrica.com,English,Nigeria
https://www.ippmedia.com/en/features/why-climate-agricultural-techniques-are-resilient-climate-change,https://www.ippmedia.com/en/features/why-climate-agricultural-techniques-are-resilient-climate-change?amp,Why climate agricultural techniques are resilient for climate change,20200501T113000Z,https://www.ippmedia.com/sites/default/files/articles/2020/05/01/miti.jpg,ippmedia.com,English,Tanzania
"https://www.ynet.co.il/articles/0,7340,L-5723118,00.html",,עניין של שחור או לבן,20200501T164500Z,https://www.ynet.co.il/PicServer5/2020/04/13/9906511/99064000100488640360no.jpg,ynet.co.il,Hebrew,Israel
https://www.yna.co.kr/view/AKR20200501011000072,https://m.yna.co.kr/amp/view/AKR20200501011000072,"유엔총장  한국 , 코로나19 · 기후변화 대응 따라야 할 본보기  ",20200501T000000Z,https://img1.yna.co.kr/etc/inner/KR/2020/05/01/AKR20200501011000072_01_i_P4.jpg,yna.co.kr,Korean,South Korea
https://www.breitbart.com/entertainment/2020/04/30/robert-redford-sees-pleasant-surprise-in-coronavirus-lockdown-glimpse-of-potential-for-environmental-repair/,https://www.breitbart.com/entertainment/2020/04/30/robert-redford-sees-pleasant-surprise-in-coronavirus-lockdown-glimpse-of-potential-for-environmental-repair/amp/,Robert Redford Sees  Pleasant Surprise  in Coronavirus Lockdown :  Glimpse of Potential for Environmental Repair  ,20200501T003000Z,https://media.breitbart.com/media/2018/01/RobertRedfordSundance.jpg,breitbart.com,English,United States
http://seoul.co.kr/news/newsView.php?id=20200501500128,https://amp.seoul.co.kr/www/20200501500128," [ 서울신문 ] 유엔총장  韓 , 코로나19 대응 성공적 … 따라야 할 본보기  극찬",20200501T080000Z,https://img.seoul.co.kr/img/upload/2020/01/07/SSI_20200107070632.jpg,seoul.co.kr,Korean,South Korea
http://seoul.co.kr/news/newsView.php?id=20200501500128&wlog_sub=svt_023,https://amp.seoul.co.kr/www/20200501500128," [ 서울신문 ] 유엔총장  韓 , 코로나19 대응 성공적 … 따라야 할 본보기  극찬",20200501T064500Z,https://img.seoul.co.kr/img/upload/2020/01/07/SSI_20200107070632.jpg,seoul.co.kr,Korean,South Korea
https://theconversation.com/11-000-scientists-warn-climate-change-isnt-just-about-temperature-126261,https://theconversation.com/amp/11-000-scientists-warn-climate-change-isnt-just-about-temperature-126261,"11 , 000 scientists warn : climate change isnt just about temperature",20200501T210000Z,https://images.theconversation.com/files/300029/original/file-20191104-88403-1u1o8ss.jpg?ixlib=rb-1.1.0&rect=35%2C0%2C4000%2C2000&q=45&auto=format&fit=crop,theconversation.com,English,Australia
https://www.dw.com/overlay/media/en/disappearing-ice-climate-change-in-the-antarctic/53186886/53304374,,,20200501T183000Z,,dw.com,English,Germany
https://www.yna.co.kr/view/AKR20200501011051072,https://m.yna.co.kr/amp/view/AKR20200501011051072,"유엔총장  한국 , 코로나19 · 기후변화 대응 따라야 할 본보기 ( 종합 ) ",20200501T023000Z,https://img5.yna.co.kr/etc/inner/KR/2020/05/01/AKR20200501011051072_01_i_P4.jpg,yna.co.kr,Korean,South Korea
https://www.smh.com.au/business/companies/woodside-warns-renewables-lack-scale-as-rivals-turn-green-leaf-20200501-p54p2u.html,https://amp.smh.com.au/business/companies/woodside-warns-renewables-lack-scale-as-rivals-turn-green-leaf-20200501-p54p2u.html,Woodside warns renewables  lack scale  as rivals turn green leaf,20200501T074500Z,https://static.ffx.io/images/$zoom_0.5298%2C$multiply_0.7554%2C$ratio_1.777778%2C$width_1059%2C$x_0%2C$y_109/t_crop_custom/q_86%2Cf_auto/ddb63975accb106af234a030dbc54880fca98abc,smh.com.au,English,Australia
https://www.theage.com.au/business/companies/woodside-warns-renewables-lack-scale-as-rivals-turn-green-leaf-20200501-p54p2u.html,https://amp.theage.com.au/business/companies/woodside-warns-renewables-lack-scale-as-rivals-turn-green-leaf-20200501-p54p2u.html,Woodside warns renewables  lack scale  as rivals turn green leaf,20200501T081500Z,https://static.ffx.io/images/$zoom_0.5298%2C$multiply_0.7554%2C$ratio_1.777778%2C$width_1059%2C$x_0%2C$y_109/t_crop_custom/q_86%2Cf_auto/ddb63975accb106af234a030dbc54880fca98abc,theage.com.au,English,Australia
https://www.express.co.uk/news/science/1276768/Climate-change-news-global-warming-models-University-of-Michigan,https://www.express.co.uk/news/science/1276768/Climate-change-news-global-warming-models-University-of-Michigan/amp,Climate change : Some climate models  predict too much warming  | Science | News,20200501T210000Z,https://cdn.images.express.co.uk/img/dynamic/151/750x445/1276768.jpg,express.co.uk,English,United Kingdom
https://www.watoday.com.au/business/companies/woodside-warns-renewables-lack-scale-as-rivals-turn-green-leaf-20200501-p54p2u.html,https://amp.watoday.com.au/business/companies/woodside-warns-renewables-lack-scale-as-rivals-turn-green-leaf-20200501-p54p2u.html,Woodside warns renewables  lack scale  as rivals turn green leaf,20200501T104500Z,https://static.ffx.io/images/$zoom_0.5298%2C$multiply_0.7554%2C$ratio_1.777778%2C$width_1059%2C$x_0%2C$y_109/t_crop_custom/q_86%2Cf_auto/ddb63975accb106af234a030dbc54880fca98abc,watoday.com.au,English,Australia
https://www.brisbanetimes.com.au/business/companies/woodside-warns-renewables-lack-scale-as-rivals-turn-green-leaf-20200501-p54p2u.html,https://amp.brisbanetimes.com.au/business/companies/woodside-warns-renewables-lack-scale-as-rivals-turn-green-leaf-20200501-p54p2u.html,Woodside warns renewables  lack scale  as rivals turn green leaf,20200501T081500Z,https://static.ffx.io/images/$zoom_0.5298%2C$multiply_0.7554%2C$ratio_1.777778%2C$width_1059%2C$x_0%2C$y_109/t_crop_custom/q_86%2Cf_auto/ddb63975accb106af234a030dbc54880fca98abc,brisbanetimes.com.au,English,Australia
